timestamp,totalCirculatingUSD
2023-09-10,82981419758
2023-09-11,83076364174
2023-09-12,82977303932
2023-09-13,83001549694
2023-09-14,83006535445
2023-09-15,83019048237
2023-09-16,83019048236
2023-09-17,83019048236
2023-09-18,83019048236
2023-09-19,83041508687
2023-09-20,83222641103
2023-09-21,83160240300
2023-09-22,83076676547
2023-09-23,83178483701
2023-09-24,83180866470
2023-09-25,83180866470
2023-09-26,83185008082
2023-09-27,83202933855
2023-09-28,83248340765
2023-09-29,83253698407
2023-09-30,83160754105
2023-10-01,83232172676
2023-10-02,83220106101
2023-10-03,83317986709
2023-10-04,83342217736
2023-10-05,83344022138
2023-10-06,83463049860
2023-10-07,83496479909
2023-10-08,83451566842
2023-10-09,83535018409
2023-10-10,83555541131
2023-10-11,83475174845
2023-10-12,83489452588
2023-10-13,83444883298
2023-10-14,83493443404
2023-10-15,83501125784
2023-10-16,83503204953
2023-10-17,83502236079
2023-10-18,83658558996
2023-10-19,83875799695
2023-10-20,83902581464
2023-10-21,84214389454
2023-10-22,84131359672
2023-10-23,84142359672
2023-10-24,84432650361
2023-10-25,84180828367
2023-10-26,84453054592
2023-10-27,84487655718
2023-10-28,84515238111
2023-10-29,84515238111
2023-10-30,84599753349
2023-10-31,84649163106
2023-11-01,84767046575
2023-11-02,84934312447
2023-11-03,85137597197
2023-11-04,85415214029
2023-11-05,85425224028
2023-11-06,85453352126
2023-11-07,85712109690
2023-11-08,86145267070
2023-11-09,86236089163
2023-11-10,86489374731
2023-11-11,86738442408
2023-11-12,86757241924
2023-11-13,86754712796
2023-11-14,87136449207
2023-11-15,87258995824
2023-11-16,87364348945
2023-11-17,87589526057
2023-11-18,87650408687
2023-11-19,87753374396
2023-11-20,87688283686
2023-11-21,88087213780
2023-11-22,88369058838
2023-11-23,88438827710
2023-11-24,88486990065
2023-11-25,88772134256
2023-11-26,88789651756
2023-11-27,88755950804
2023-11-28,88897224190
2023-11-29,89140885871
2023-11-30,89343105329
2023-12-01,89317080453
2023-12-02,89499174101
2023-12-03,89569124098
2023-12-04,89709343821
2023-12-05,89771965681
2023-12-06,90095805311
2023-12-07,90040209002
2023-12-08,90228000442
2023-12-09,90307767897
2023-12-10,90561569096
2023-12-11,90501094898
2023-12-12,90788011889
2023-12-13,90528056603
2023-12-14,90565337799
2023-12-15,90750575813
2023-12-16,90757848534
2023-12-17,90814015237
2023-12-18,90789021963
2023-12-19,90706337371
2023-12-20,90852195037
2023-12-21,90997478400
2023-12-22,91042674797
2023-12-23,91166134358
2023-12-24,91324167292
2023-12-25,91276455285
2023-12-26,91298065200
2023-12-27,91315534130
2023-12-28,91518442108
2023-12-29,91497677422
2023-12-30,91743380100
2023-12-31,91768770464
2024-01-01,91665918562
2024-01-02,91957173752
2024-01-03,92020117112
2024-01-04,92356526357
2024-01-05,92873224702
2024-01-06,93320401318
2024-01-07,93621529319
2024-01-08,93585145320
2024-01-09,94057456783
2024-01-10,94228636696
2024-01-11,94685834131
2024-01-12,94980329573
2024-01-13,94942211254
2024-01-14,94959118221
2024-01-15,95077941897
2024-01-16,95014535787
2024-01-17,95068943281
2024-01-18,95040194578
2024-01-19,94924423335
2024-01-20,94907011924
2024-01-21,94845722752
2024-01-22,94791054938
2024-01-23,94865026114
2024-01-24,95659508140
2024-01-25,95512228464
2024-01-26,95543581705
2024-01-27,95967218711
2024-01-28,95969099987
2024-01-29,96019704040
2024-01-30,96040095474
2024-01-31,96140512112
2024-02-01,96000234428
2024-02-02,96305147414
2024-02-03,96202494292
2024-02-04,96135237584
2024-02-05,96181869124
2024-02-06,96064849275
2024-02-07,96080918392
2024-02-08,96269428997
2024-02-09,96289571761
2024-02-10,96208378383
2024-02-11,96425207261
2024-02-12,96558720640
2024-02-13,96637770433
2024-02-14,96787758381
2024-02-15,97336247917
2024-02-16,97304868931
2024-02-17,97634647604
2024-02-18,97742174104
2024-02-19,97664260351
2024-02-20,97666842000
2024-02-21,97787711855
2024-02-22,97712632144
2024-02-23,97751167575
2024-02-24,97897857760
2024-02-25,97836769496
2024-02-26,97888948753
2024-02-27,98076466747
2024-02-28,98378060190
2024-02-29,98654376826
2024-03-01,98932984696
